,confirmed_daily_ehma,deaths_daily_ehma,recovered_daily_ehma,prevalence_daily_ehma,incidence_rate_ehma,mortality_ehma,cfr_daily_ehma,cfr_cumulative_ehma
12/20/20,638535.7076231786,11112.586498754461,395884.7541854539,28378242.38088496,8.107978003957232,0.14215516135749343,1.7623897310225956,2.343879208203477
12/21/20,628941.7200289557,10991.709130588493,389334.5957253644,28812170.283310995,7.986146578116588,0.1405317329666411,1.7693065297957933,2.3386478861984443
12/22/20,623436.4919090997,11002.584902617396,384030.9865104921,29228534.847253013,7.9162055009886005,0.1405948715712964,1.78462749327093,2.3337120101445734
12/23/20,622097.6599421147,11114.605682735864,380527.603669187,29630735.555165265,7.899188585634985,0.14203788562561764,1.8031750262545974,2.3290931624598126
12/24/20,626317.5488473006,11246.050089091597,376210.5060290406,30026278.25333541,7.952698914389753,0.14367715602892833,1.8109855816602725,2.3245628410165815
12/25/20,627708.0619615979,11297.509760852117,371559.5933488919,30413885.511806846,7.970364905418894,0.144232651648468,1.8139110976564685,2.32019943033359
12/26/20,628102.7121096875,11289.20465908844,365657.4195343372,30794973.83694467,7.975285959348067,0.14403885439383032,1.8101496183243166,2.315816551672912
12/27/20,625830.6909958494,11204.625377965052,359357.7800441778,31168400.683345705,7.946450256225826,0.14286925386856786,1.800991602823119,2.311523748991195
12/28/20,622675.4411621635,11117.600914811128,353453.39746915747,31533881.02491934,7.906440933392057,0.14177143618887203,1.7942758764564235,2.307157620856151
12/29/20,623318.3116908605,11159.865864147396,348544.79029016115,31895015.243555594,7.914700400371411,0.1423980905080333,1.7964481880864196,2.302844588912885
12/30/20,627705.062254689,11277.222623869508,344375.5970194424,32255594.920860518,7.97040236104306,0.1439457056429024,1.800128754130673,2.2986692790395318
12/31/20,636394.6299238339,11443.812616040888,341061.63384165906,32619816.061571527,8.080823594223313,0.14608244691024502,1.8007403746221633,2.294450240159052
1/1/21,646988.1180333648,11647.62710292377,337778.18900998624,32990249.841695063,8.215442308161435,0.14856901625287547,1.8018454665530903,2.2903009353626405
1/2/21,656759.8008255779,11825.398826685434,335370.21838265564,33365900.140217043,8.339520580761773,0.1507632334299403,1.801609888174413,2.2862967957368534
1/3/21,662096.1303944568,11892.693787129389,332206.74822995387,33743816.106229305,8.407318992266559,0.15152868801549957,1.7964624102744928,2.2822499488223458
1/4/21,664598.6503842064,11900.373481436569,329069.83940064197,34121762.49104507,8.439060009237641,0.1515412443097181,1.7899851627033099,2.278269471630911
1/5/21,666957.0518034525,12024.888142346514,327280.4090852643,34498647.02560771,8.468892785984607,0.15316328386820804,1.801141160497869,2.2744278951120824
1/6/21,670357.793773435,12214.142986680383,326978.88505090313,34874429.88251804,8.512046082323494,0.1556047129106249,1.8185914680433584,2.270771215252286
